"Номер заказа";"Номер отправления";"Дата создания заказа";"Дата отгрузки";"Статус";"Сумма отправления";"Наименование товара";"OZON id";"Артикул";"Итоговая стоимость товара";"Количество"
"19410572-0008";"19410572-0008-3";"2020-06-03 20:34:35";"2020-06-05 10:00:00";"Доставлен";"370.00";"Арт носки ""День  мертвых""";"170017719";"M1228";"370.00";"1"
"28355786-0016";"28355786-0016-3";"2020-06-03 18:08:08";"2020-06-05 10:00:00";"Доставлен";"370.00";"Арт носки ""Клоун""";"169830691";"M1115-det";"370.00";"1"
"28355786-0016";"28355786-0016-3";"2020-06-03 18:08:08";"2020-06-05 10:00:00";"Доставлен";"370.00";"Арт носки ""Нет, я Патрик!""";"169835268";"M1186-det";"370.00";"1"
"43767848-0030";"43767848-0030-4";"2020-06-03 18:00:21";"2020-06-05 10:00:00";"Доставлен";"370.00";"Арт носки ""Мега-бургер""";"169830902";"M1131-det";"370.00";"1"
"08939534-0078";"08939534-0078-3";"2020-06-03 17:49:47";"2020-06-05 10:00:00";"Доставлен";"370.00";"Арт носки ""Вечеринка ананасов""";"169831609";"M1089";"370.00";"1"
"04601686-0039";"04601686-0039-2";"2020-06-03 15:01:43";"2020-06-07 10:00:00";"Доставлен";"370.00";"Носки ""Про носки""";"169203056";"252";"370.00";"1"
"40308601-0003";"40308601-0003-4";"2020-06-03 14:43:10";"2020-06-04 10:00:00";"Доставлен";"370.00";"Носки ""Злой клоун""";"169038257";"233";"370.00";"1"
"05788160-0112";"05788160-0112-4";"2020-06-03 12:36:10";"2020-06-04 10:00:00";"Отменен";"370.00";"Носки ""Кубики""";"169293138";"300";"370.00";"1"
"03678930-0215";"03678930-0215-6";"2020-06-03 08:07:43";"2020-06-07 10:00:00";"Доставляется";"350.00";"Арт носки ""Цветная банда""";"169830952";"M1063-det";"350.00";"1"
"45647371-0008";"45647371-0008-3";"2020-06-03 07:18:11";"2020-06-04 10:00:00";"Доставлен";"370.00";"Носки ""Про носки""";"169203056";"252";"370.00";"1"
"40310563-0009";"40310563-0009-1";"2020-06-03 05:46:00";"2020-06-06 10:00:00";"Доставляется";"370.00";"Носки ""Кактус""";"168914618";"168";"370.00";"1"
"17492717-0204";"17492717-0204-3";"2020-06-02 21:53:28";"2020-06-04 10:00:00";"Доставлен";"350.00";"Арт носки ""Опасная встреча""";"169834525";"M1255-det";"350.00";"1"
"17492717-0204";"17492717-0204-3";"2020-06-02 21:53:28";"2020-06-04 10:00:00";"Доставлен";"350.00";"Арт носки ""Кубик Рубик""";"169834529";"M1261-det";"350.00";"1"
"23604269-0003";"23604269-0003-9";"2020-06-02 20:00:07";"2020-06-06 10:00:00";"Доставлен";"370.00";"Арт носки ""Питбуль""";"169830468";"M1114-det";"370.00";"1"
"29131283-0002";"29131283-0002-1";"2020-06-02 19:35:33";"2020-06-04 10:00:00";"Доставлен";"370.00";"Носки ""Лягушка""";"168796976";"143";"370.00";"1"
"41604156-0002";"41604156-0002-2";"2020-06-02 19:36:27";"2020-06-04 10:00:00";"Доставлен";"370.00";"Носки женские дизайнерские с принтом ""Единорожка""";"170707562";"422";"370.00";"1"
"45360324-0015";"45360324-0015-3";"2020-06-02 19:11:31";"2020-06-05 10:00:00";"Доставлен";"370.00";"Арт носки ""Попугай""";"169830925";"M1027-det";"370.00";"1"
"46746274-0005";"46746274-0005-2";"2020-06-02 19:01:59";"2020-06-05 10:00:00";"Отменен";"370.00";"Носки ""Губка Боб квадратные штаны""";"168797001";"137";"370.00";"1"
"45179084-0003";"45179084-0003-2";"2020-06-02 18:45:55";"2020-06-04 10:00:00";"Доставлен";"370.00";"Арт носки ""Единорог на стиле""";"169832617";"M1184-det";"370.00";"1"
"30066707-0039";"30066707-0039-3";"2020-06-02 17:03:47";"2020-06-05 10:00:00";"Доставлен";"370.00";"Арт носки ""Единорог на стиле""";"169832617";"M1184-det";"370.00";"1"
"04059948-0085";"04059948-0085-2";"2020-06-02 16:01:23";"2020-06-04 10:00:00";"Доставлен";"370.00";"Носки ""Голубь""";"168797016";"126";"370.00";"1"
"10409692-0014";"10409692-0014-3";"2020-06-02 15:17:30";"2020-06-03 10:00:00";"Отменен";"370.00";"Арт носки ""Единорог на стиле""";"169832617";"M1184-det";"370.00";"1"
